Gold Question	Modified Question	User Score 1	User Score 2
what did Cary Fukunaga direct ?	what Cary Fukunaga direct ?	4	4
what films does Tony Curran appear in ?	what films does Tony Curran in ?	3	3
what does Sultan Islamov appear in ?	what Sultan Islamov appear ?	4	4
Robert Resnikoff was the director of which movies ?	Robert Resnikoff director which movies ?	5	5
what films did Kristoffer Joner star in ?	what films Kristoffer Joner star ?	5	5
can you name a film directed by Jason Michael Brescia ?	name film directed Jason Michael Brescia ?	5	5
what films does David Keith appear in ?	what films does David Keith in ?	3	3
what movies was Jessica Simpson an actor in ?	what movies was an actor in ?	2	2
what does Mark Dacascos act in ?	what Mark Dacascos act ?	5	4
what does Arthur Godfrey star in ?	what Arthur Godfrey star ?	5	4
Thom Andersen was the director of which films ?	Thom Andersen director which films ?	5	5
what was Miles Brandman the director of ?	what Miles Brandman director ?	4	4
what movies was Daisy Betts an actor in ?	what movies Daisy Betts actor ?	5	5
what movies was Barbi Benton an actor in ?	what movies was an actor in ?	2	2
what does Leslie Bibb act in ?	Where Leslie Bibb act in ?	4	4
what movies did Adam Roarke act in ?	what movies did Adam Roarke ?	3	3
what movies did Stanley Ridges star in ?	what movies did Stanley Ridges ?	3	3
what does Robert Foxworth act in ?	what Robert Foxworth act ?	5	4
what movies did Hope Lange star in ?	what movies did Hope Lange ?	3	3
what movies did Gregory Walcott star in ?	what movies did Gregory Walcott ?	3	3
what films did Sandra Bernhard star in ?	what films did Sandra Bernhard ?	3	3
what movies was Cathryn Harrison an actor in ?	what movies Cathryn Harrison an ?	3	3
what does Joseph Lawrence appear in ?	what Joseph Lawrence appear ?	5	4
what movies was Hristos Passalis an actor in ?	what movies was an actor in ?	2	2
what does Philip Stone star in ?	where Philip Stone star in ?	4	4
what does Veronica Lake star in ?	what Veronica Lake star ?	4	4
what does Lilyan Tashman appear in ?	which Lilyan Tashman appear in ?	5	4
what movies did Nana Patekar star in ?	what movies did Nana Patekar in ?	4	3
what films did Jean Marsh star in ?	what films did Jean Marsh in ?	4	3
what films did Nathan Fillion star in ?	which did Nathan Fillion star in ?	3	4
Mick Jackson directed which movies ?	Mick Jackson directed what ?	5	4
what does Richard Rober act in ?	what does Richard Rober in ?	3	3
what films did Dustin Nguyen star in ?	whose did Dustin Nguyen star in ?	4	4
what does Oscar Redding star in ?	when Oscar Redding star in ?	4	4
Joel Torre appears in which movies ?	Joel Torre in which movies ?	3	3
what does Walter Steiner act in ?	what does Walter Steiner in ?	3	3
what films did Ian Cairns act in ?	what films did Ian Cairns ?	3	3
what films did Freddy Flores act in ?	what films did act in ?	1	1
what movies did Tio Hardiman act in ?	what movies did act in ?	1	1
what films did Julien Bertheau act in ?	What did Julien Bertheau act in ?	4	4
what films did Lucky McKee star in ?	what films did star in ?	1	1
what movies did Ruth Roman star in ?	what movies Ruth Roman star ?	4	4
what movies did Lance Armstrong star in ?	what movies did star in ?	1	1
what films does Stanley Holloway appear in ?	what films Stanley Holloway appear ?	4	4
what films did Nicholas Kilbertus star in ?	what films did Nicholas Kilbertus ?	3	3
what movies was Sally Yeh an actor in ?	When was Sally Yeh an actor in ?	3	3
John Waters appears in which movies ?	John Waters appears in When ?	2	2
what films did Vera Zorina star in ?	what films did Vera Zorina ?	3	3
what films did Diego Luna star in ?	what films did Diego Luna ?	3	3
what movies was John Cusack an actor in ?	Why was John Cusack an actor in ?	3	3
what films does Ryan Gosling appear in ?	what films Ryan Gosling appear ?	4	4
what films did Ramon Novarro star in ?	what films did star in ?	1	1
Esther Gorintin appears in which movies ?	appears in which movies ?	1	1
what movies was Judy Lynn an actor in ?	what movies Judy Lynn actor ?	4	4
what films did Adrian Zmed star in ?	what films did star in ?	1	1
what movies did Ryan Merriman act in ?	what movies did act in ?	1	1
what films does Minka Kelly appear in ?	Where does Minka Kelly appear in ?	3	3
what does Clancy Brown act in ?	what does act in ?	1	1
what does Isha Koppikar appear in ?	what does appear in ?	1	1
which films did Frank Borzage direct ?	which films Frank Borzage direct ?	4	4
what films does Susan Cabot appear in ?	what films does appear in ?	1	1
what movies did Harry Morgan star in ?	what movies did star in ?	1	1
what films did John Emerson direct ?	what films did John Emerson ?	3	3
what films did Ruby Wong star in ?	what films did star in ?	1	1
what movies did Eliza Dushku act in ?	what movies did act in ?	1	1
what films did Gale Sondergaard star in ?	what films did star in ?	1	1
what does Bret Roberts appear in ?	what does appear in ?	1	1
which movies did Jack Cardiff direct ?	which movies did Jack Cardiff ?	3	3
what films did Spring Byington act in ?	What did Spring Byington act in ?	4	4
what films did Colin Friels star in ?	what films did Colin Friels ?	3	3
what movies was Oscar Polk an actor in ?	Whose was Oscar Polk an actor in ?	4	4
what does Dida Diafat act in ?	what does Dida Diafat ?	2	2
Ayesha Mohan appears in which movies ?	Ayesha Mohan which movies ?	3	3
what films did Cindy Pickett act in ?	What did Cindy Pickett act in ?	4	4
Eiko Koike appears in which movies ?	Eiko Koike which movies ?	3	3
Frank Oz appears in which movies ?	appears in which movies ?	1	1
what movies did Tom Lycos star in ?	Which did Tom Lycos star in ?	4	4
what movies did Tom Hulce star in ?	what movies Tom Hulce star ?	4	4
what does Nancy Travis appear in ?	Why Nancy Travis appear in ?	4	4
what movies did Hallee Hirsh act in ?	When did Hallee Hirsh act in ?	4	4
what movies did Rory Culkin star in ?	what movies did Rory Culkin ?	3	3
what films did John O'Mahony star in ?	what films did John O'Mahony ?	3	3
what movies did Walter Cronkite star in ?	what movies did Walter Cronkite ?	3	3
what does Harold Lloyd star in ?	Which Harold Lloyd star in ?	4	4
what movies did Darren E. Burrows act in ?	what movies did Darren E. Burrows ?	3	3
what movies was Doris Davenport an actor in ?	what movies was an actor in ?	2	2
what films did Viggo Mortensen star in ?	what films did Viggo Mortensen ?	3	3
what does Patrick Breen appear in ?	what does appear in ?	1	1
what movies did Sophie Rois star in ?	what movies did star in ?	2	2
what films did Spring Byington act in ?	what films did act in ?	2	2
what does Elke Sommer appear in ?	what does appear in ?	1	1
Martin Udvarnoky appears in which movies ?	appears in which movies ?	2	2
what movies was Patrick Elyas an actor in ?	where was Patrick Elyas an actor in ?	5	5
what films does Claude Akins appear in ?	how does Claude Akins appear in ?	3	3
which films did Luis Prieto direct ?	which films did Luis Prieto ?	3	3
what films did Plácido Domingo act in ?	what films did act in ?	2	2
Arturo Ripstein was the director of which movies ?	was the director of which movies ?	2	2
what movies was Tim McGraw an actor in ?	when was Tim McGraw an actor in ?	3	3
what films did Yaya DaCosta act in ?	what films did Yaya DaCosta in ?	3	3
what does Larenz Tate act in ?	what does act in ?	1	1
which movie was Catherine Hardwicke the director for ?	which movie was the director for ?	2	2
what movies did Jason Bourque direct ?	what movies did direct ?	2	2
what films did Joanna Pacula act in ?	what films did Joanna Pacula in ?	3	3
what does Anna Quayle act in ?	what does act in ?	2	2
what movies did Scott Bakula act in ?	what movies did act in ?	2	2
what films did Phil Lord direct ?	whose did Phil Lord direct ?	4	4
what movies did Michele Placido direct ?	what movies did Michele Placido ?	3	3
what does Victor Mature act in ?	what does Victor Mature in ?	3	3
what films did Göran Ragnerstam star in ?	when did Göran Ragnerstam star in ?	4	4
what movies was Cathryn Harrison an actor in ?	what movies Cathryn Harrison an ?	3	3
what films did Christian Barbier act in ?	what films did Christian Barbier ?	3	3
what movies did Irene Purcell act in ?	what movies Irene Purcell act ?	4	4
what movies was Harry Hill an actor in ?	Why was Harry Hill an actor in ?	4	4
what was Matthew Crouch the director of ?	Whose Matthew Crouch the director of ?	4	4
Eric Cantona appears in which movies ?	Eric Cantona which movies ?	3	3
which movies did Christopher Erskin direct ?	which movies did Christopher Erskin ?	3	3
what films does Paresh Rawal appear in ?	what films Paresh Rawal appear ?	4	4
Orlando Jones appears in which movies ?	Orlando Jones appears in When ?	4	4
what does Elke Sommer appear in ?	what does Elke Sommer ?	3	3
what movies did Darren McGavin star in ?	Which did Darren McGavin star in ?	4	4
what does Schuyler Fisk star in ?	what Schuyler Fisk star ?	4	4
what movies was Sissy Spacek an actor in ?	Why was Sissy Spacek an actor in ?	4	4
Erin O'Brien appears in which movies ?	Erin O'Brien appears which movies ?	5	5
what movies was Anka Graczyk an actor in ?	Which was Anka Graczyk an actor in ?	4	4
what movies was Patricia Wettig an actor in ?	what movies Patricia Wettig an ?	3	3
what films did Bud Abbott star in ?	what films did star in ?	2	2
what films did Yukiko Kobayashi star in ?	what films did star in ?	2	2
what movies did Margrét Vilhjálmsdóttir star in ?	what movies Margrét Vilhjálmsdóttir star ?	4	4
which movie was Roland Suso Richter the director for ?	When was Roland Suso Richter the director for ?	3	3
can you name a film directed by Monty Banks ?	can you name a film directed by Monty Banks ?	5	5
James Gandolfini appears in which movies ?	James Gandolfini appears which movies ?	4	4
what movies was Hilda Borgström an actor in ?	what movies Hilda Borgström actor ?	4	4
what movies was Roger Perry an actor in ?	what movies Roger Perry actor ?	4	4
what films does Stanley Holloway appear in ?	what films Stanley Holloway appear ?	5	5
what movies did James Woods act in ?	what movies James Woods act ?	5	5
Joël Séria directed which movies ?	Joël Séria which movies ?	3	3
which films did Jason Connery direct ?	Which did Jason Connery direct ?	4	4
Sam Fell directed which films ?	Sam Fell which films ?	3	3
what movies did Gregory Walcott star in ?	what movies did star in ?	2	2
what does Laurie Simmons star in ?	what does Laurie Simmons in ?	3	3
what does Stephen Mendillo star in ?	how Stephen Mendillo star in ?	3	3
what does Elena Fabrizi appear in ?	which Elena Fabrizi appear in ?	3	3
what films did C. Aubrey Smith act in ?	whose did C. Aubrey Smith act in ?	3	3
which movie was Bakhtyar Khudojnazarov the director for ?	which movie was Bakhtyar Khudojnazarov the for ?	3	3
what films did Philippe Garrel direct ?	where did Philippe Garrel direct ?	3	3
what movies did Dendrie Taylor act in ?	why did Dendrie Taylor act in ?	3	3
which movies did Jim Abrahams direct ?	which movies did direct ?	2	2
what films did Don DeFore star in ?	why did Don DeFore star in ?	3	3
Mehdi Nebbou appears in which movies ?	Mehdi Nebbou appears which movies ?	5	5
Nanette Burstein was the director of which movies ?	Nanette Burstein was the director of how ?	3	3
what movies did Tyne Daly star in ?	what movies Tyne Daly star ?	5	5
Stuart Cooper was the director of which films ?	Stuart Cooper was the director of whose ?	3	3
what films does Ben Mendelsohn appear in ?	how does Ben Mendelsohn appear in ?	3	3
what movies was Scott Grimes an actor in ?	what movies Scott Grimes actor ?	4	4
what movies did Janet Agren act in ?	how did Janet Agren act in ?	3	3
which films did Brian Gibson direct ?	which films Brian Gibson direct ?	5	5
what movies did Carmine Giovinazzo star in ?	how did Carmine Giovinazzo star in ?	3	3
what does Jane Greer appear in ?	what does Jane Greer in ?	3	3
what movies was Bill Nunn an actor in ?	when was Bill Nunn an actor in ?	3	3
what does Vince Colosimo act in ?	what does Vince Colosimo in ?	3	3
what does Cliff Robertson appear in ?	what Cliff Robertson appear ?	3	3
what films did Rachel True star in ?	what films Rachel True star ?	4	4
which films did Jerome Robbins direct ?	how did Jerome Robbins direct ?	3	3
what does Barbra Streisand star in ?	whose Barbra Streisand star in ?	3	3
what movies did Tio Hardiman act in ?	how did Tio Hardiman act in ?	3	3
what does Jared Padalecki appear in ?	what does appear in ?	1	1
what films does Christopher Connelly appear in ?	what films Christopher Connelly appear ?	5	5
Barry Foster appears in which movies ?	Barry Foster in which movies ?	4	4
what does Spencer Treat Clark appear in ?	what Spencer Treat Clark appear ?	4	4
what films did Carlos Mencia act in ?	what films did Carlos Mencia in ?	4	4
Jim Jarmusch was the director of which movies ?	Jim Jarmusch was the director of how ?	3	3
what films did Tony Danza star in ?	what films did Tony Danza in ?	4	4
what movies did Ryan Merriman act in ?	what movies did Ryan Merriman in ?	4	4
what does Peter Riegert appear in ?	how Peter Riegert appear in ?	2	2
what films does Mady Christians appear in ?	what films does appear in ?	2	2
what does Alice Brady appear in ?	what does appear in ?	1	1
what films did Ariadna Gil star in ?	what films did star in ?	2	2
which movie was Maggie Carey the director for ?	which movie was the director for ?	2	2
what does Oscar Redding star in ?	when Oscar Redding star in ?	3	3
what movies did James Shigeta star in ?	what movies did James Shigeta in ?	4	4
what movies did Anna Drijver star in ?	what movies did star in ?	2	2
what does Ximena Ayala appear in ?	what does Ximena Ayala in ?	4	4
what films did Jon Lovitz act in ?	what films did Jon Lovitz in ?	4	4
what films did Bobby Moat star in ?	what films did star in ?	2	2
what films did Clara Choveaux star in ?	what films did star in ?	2	2
Stefania Rocca appears in which movies ?	Stefania Rocca in which movies ?	4	4
what does Douglas Hodge appear in ?	what Douglas Hodge appear ?	4	4
what does Nell Cattrysse star in ?	what Nell Cattrysse star ?	4	4
what movies did Ella Reid act in ?	what movies Ella Reid act ?	5	5
what does Mary Stuart Masterson appear in ?	what does Mary Stuart Masterson in ?	4	4
what movies did Adam Campbell star in ?	what movies did Adam Campbell in ?	4	4
what does Peter Bogdanovich act in ?	what does Peter Bogdanovich in ?	4	4
what does Meredith Scott Lynn act in ?	which Meredith Scott Lynn act in ?	4	4
Richard Armitage appears in which movies ?	Richard Armitage appears in where ?	4	4
what films did Diego Luna star in ?	what films Diego Luna star ?	4	4
what films does Virginia Bruce appear in ?	what films does Virginia Bruce in ?	4	4
Clare Kilner was the director on which movies ?	was the director on which movies ?	2	2
what films did Matt Lanter star in ?	what films did Matt Lanter in ?	4	4
what does Deborah Winters appear in ?	what does Deborah Winters in ?	4	4
what does Pat O'Brien appear in ?	whose Pat O'Brien appear in ?	4	4
what does Earle Hodgins act in ?	what does Earle Hodgins in ?	4	4
what movies was Pablo Echarri an actor in ?	what movies was an actor in ?	2	2
what was Gaspar Noé the director of ?	how Gaspar Noé the director of ?	3	3
Frank Marshall was the director on which movies ?	Frank Marshall was the on which movies ?	3	3
what films did Tim Burstall direct ?	what films did Tim Burstall ?	3	3
what movies did Annabelle Gurwitch star in ?	what movies did Annabelle Gurwitch in ?	3	3
what movies did Bella Darvi star in ?	which did Bella Darvi star in ?	5	5
what movies did William Keighley direct ?	what movies William Keighley direct ?	5	5
what movies did Joanne Nail act in ?	what movies Joanne Nail act ?	5	5
what movies did Viola Davis act in ?	when did Viola Davis act in ?	3	3
Zak Bagans was the director of which movies ?	Zak Bagans director which movies ?	5	5
Murray Head appears in which movies ?	Murray Head in which movies ?	3	3
what did Jonas Åkerlund direct ?	when Jonas Åkerlund direct ?	3	3
which films did Robert Greenwald direct ?	what did Robert Greenwald direct ?	5	5
what movies did Alex Karras act in ?	what movies did Alex Karras in ?	3	3
Zell Miller appears in which movies ?	appears in which movies ?	2	2
which films did Lloyd Ingraham direct ?	which films did direct ?	2	2
what does Peter Whitford act in ?	what does Peter Whitford in ?	3	3
what films did Felicity Huffman act in ?	what films did act in ?	2	2
what movies did Lionel Jeffries direct ?	how did Lionel Jeffries direct ?	3	3
what does Joanna Newsom star in ?	what does star in ?	2	2
what does Thomas Mitchell star in ?	what does star in ?	2	2
what movies was Sissy Spacek an actor in ?	what movies was an actor in ?	2	2
Joshua Michael Stern was the director of which movies ?	Joshua Michael Stern was the director of how ?	3	3
Evan Richards appears in which movies ?	appears in which movies ?	2	2
what movies did Adam Campbell star in ?	what movies did Adam Campbell in ?	3	3
what movies did André Benjamin star in ?	why did André Benjamin star in ?	4	4
Malcolm Venville directed which movies ?	Malcolm Venville directed why ?	3	3
what does D.L. Hughley appear in ?	where D.L. Hughley appear in ?	4	4
what films does Juliet Prowse appear in ?	what films does Juliet Prowse in ?	3	3
what is a film directed by Assaf Bernstein ?	why a film directed by Assaf Bernstein ?	3	3
what does George Reeves star in ?	what does star in ?	2	2
which films did Evan Glodell direct ?	which films did Evan Glodell ?	3	3
what movies did Vincent Price star in ?	what movies did Vincent Price in ?	3	3
what did Gilles Bourdos direct ?	what did direct ?	2	2
what does Ana Torrent star in ?	what Ana Torrent star ?	4	4
what does Emraan Hashmi star in ?	what does star in ?	2	2
George Stover appears in which movies ?	George Stover which movies ?	3	3
what movies was Dalton Trumbo an actor in ?	what movies Dalton Trumbo actor ?	4	4
what movies was Patrick Elyas an actor in ?	what movies was an actor in ?	2	2
which movie was Bakhtyar Khudojnazarov the director for ?	which movie Bakhtyar Khudojnazarov ?	3	3
Robert Resnikoff was the director of which movies ?	Robert Resnikoff which movies ?	3	3
what movies did Trevor Moore star in ?	what movies Trevor Moore star ?	4	4
what movies was Gabrielle Anwar an actor in ?	what movies Gabrielle Anwar an ?	3	3
what does Russell Means star in ?	Which Russell Means star in ?	4	4
what films did Carrie Snodgress star in ?	Which did Carrie Snodgress star in ?	4	4
what movies was Zachery Ty Bryan an actor in ?	what movies Zachery Ty Bryan an ?	3	3
Murray Head appears in which movies ?	appears in which movies ?	2	2
which films did Michael Mohan direct ?	which films Michael Mohan direct ?	5	5
Malcolm Venville directed which movies ?	Malcolm Venville directed What ?	4	4
Lajos Koltai was the director of which movies ?	Lajos Koltai director which movies ?	4	4
what does Derek Jarman appear in ?	what does Derek Jarman ?	3	3
what films does Sonakshi Sinha appear in ?	what films does Sonakshi Sinha ?	3	3
what films did Robin Wright act in ?	what films Robin Wright act ?	4	4
what films did Audra Lindley act in ?	what films Audra Lindley act ?	4	4
which movie was Sam Pillsbury the director for ?	Which was Sam Pillsbury the director for ?	4	4
can you name a film directed by Patricia Rozema ?	can you name a film directed by ?	1	1
what films did Odoardo Spadaro act in ?	what films did Odoardo Spadaro ?	3	3
what does Claude Lelouch act in ?	what does act in ?	1	1
Rob Weiss was the director of which movies ?	Rob Weiss director which movies ?	4	4
what movies was Nick Broomfield an actor in ?	what movies Nick Broomfield actor ?	4	4
what movies did Amy Matysio star in ?	what movies Amy Matysio star ?	4	4
can you name a film directed by Ruggero Deodato ?	can you name a film directed by Ruggero Deodato ?	5	5
Frank Marshall was the director on which movies ?	Frank Marshall was the director on What ?	4	4
Lisa Langseth directed which films ?	Lisa Langseth which films ?	3	3
what is a film directed by Robert Meyer Burnett ?	what a film Robert Meyer Burnett ?	3	3
which films did Luis Prieto direct ?	which films Luis Prieto direct ?	5	5
can you name a film directed by Ron Scalpello ?	can you name a film Ron Scalpello ?	3	3
what did Djibril Diop Mambéty direct ?	Where Djibril Diop Mambéty direct ?	3	3
what movies did David Mandel direct ?	what movies David Mandel direct ?	5	5
can you name a film directed by Nikolai Müllerschön ?	can you name a film Nikolai Müllerschön ?	3	3
what did John Lasseter direct ?	Why John Lasseter direct ?	3	3
which films did Robert Shaye direct ?	When did Robert Shaye direct ?	3	3
Jim Jarmusch was the director of which movies ?	Jim Jarmusch was the director of When ?	3	3
which movies did Ti West direct ?	which movies did Ti West ?	3	3
what does Glenn Tryon appear in ?	what Glenn Tryon appear ?	3	3
what does Bob Hope appear in ?	what Bob Hope appear ?	3	3
what films did Fabrício Boliveira star in ?	what films did star in ?	2	2
what movies was Elizabeth McGovern an actor in ?	what movies was an actor in ?	2	2
what does Eric Portman star in ?	what does Eric Portman ?	3	3
Meghan Ory appears in which movies ?	appears in which movies ?	2	2
what movies was David McLean an actor in ?	Why was David McLean an actor in ?	3	3
what movies did Julianne Hough star in ?	what movies did Julianne Hough ?	3	3
what does David Thornton act in ?	what does David Thornton ?	3	3
what does Milo Ventimiglia star in ?	Which Milo Ventimiglia star in ?	4	4
what does Dinah Shore act in ?	what Dinah Shore act ?	4	4
what movies was Hilda Borgström an actor in ?	what movies Hilda Borgström actor ?	4	4
what movies did Masashi Endô star in ?	what movies Masashi Endô star ?	4	4
what does Morgan Spurlock star in ?	What Morgan Spurlock star in ?	4	4
Evan Richards appears in which movies ?	Evan Richards appears in Where ?	3	3
what movies did Norman Kerry star in ?	what movies Norman Kerry star ?	4	4
what does Ron Starr star in ?	what does Ron ?	2	2
what movies was Zachery Ty Bryan an actor in ?	what movies Zachery Ty Bryan an ?	2	2
what films does Hans Conried appear in ?	what films Hans Conried appear ?	4	4
what does Chase Ellison star in ?	When Chase Ellison star in ?	3	3
what movies was Annie Golden an actor in ?	what movies Annie Golden actor ?	4	4
what does Akira Kurosawa appear in ?	what Akira Kurosawa appear ?	4	4
what does Rebecca Balding star in ?	When Rebecca Balding star in ?	3	3
James Gandolfini appears in which movies ?	James Gandolfini appears in what ?	4	4
what films did Murray Hamilton act in ?	what films did Murray Hamilton in ?	4	4
what films does Hans Conried appear in ?	what films does Hans Conried in ?	4	4
Jim Loach was the director of which movies ?	Jim Loach director which movies ?	5	5
what movies did Hiroshi Abe star in ?	what movies did Hiroshi Abe in ?	3	3
what movies did Albert Zugsmith direct ?	what movies did Albert Zugsmith ?	3	3
what movies was David McLean an actor in ?	what movies was an actor in ?	1	1
what does Jason Behr act in ?	what does act in ?	1	1
Steven Quale was the director of which films ?	Steven Quale was the of which films ?	3	3
which movie was Toshio Lee the director for ?	why was Toshio Lee the director for ?	3	3
Leigh Jason directed which films ?	directed which films ?	1	1
what movies did Doris Dowling act in ?	what movies did Doris Dowling in ?	3	3
what movies did Tyler Labine act in ?	what movies did act in ?	1	1
what does Winona Ryder appear in ?	when Winona Ryder appear in ?	2	2
what movies did Marcello Pagliero star in ?	what movies did Marcello Pagliero in ?	3	3
what did Marc Forster direct ?	what Marc Forster direct ?	4	4
which films did Zev Berman direct ?	which films did Zev Berman ?	3	3
what did Thomas N'Gijol direct ?	what did direct ?	1	1
what movies did Anna Drijver star in ?	what movies did star in ?	1	1
what films did Tony Danza star in ?	what films did Tony Danza in ?	3	3
what does Reinhold Messner appear in ?	what Reinhold Messner appear ?	2	2
what movies did Anika Noni Rose act in ?	what movies did Anika Noni Rose in ?	3	3
what films did Christian Barbier act in ?	what films did act in ?	1	1
what movies did Dennis Widmyer direct ?	what movies did Dennis Widmyer ?	3	3
what films did Leonid Mozgovoy star in ?	what films did Leonid Mozgovoy in ?	3	3
what films does Quvenzhané Wallis appear in ?	what films Quvenzhané Wallis appear ?	4	4
what was Mark Brian Smith the director of ?	what was the director of ?	1	1
what films did Jesper Asholt act in ?	what films did act in ?	1	1
David Lean was the director on which movies ?	was the director on which movies ?	1	1
what films did Richard Garland star in ?	what films did star in ?	1	1
Hans Weingartner directed which movies ?	Hans Weingartner directed which movies ?	5	5
Tom Gilroy directed which movies ?	Tom Gilroy directed which movies ?	5	5
what movies did Gavin MacLeod act in ?	what movies Gavin MacLeod act ?	5	5
what films does Jennifer Saunders appear in ?	what films does appear in ?	1	1
what films does Suzanne Fields appear in ?	what films Suzanne Fields appear ?	5	5
which movies did Vincent Kok direct ?	which movies did Vincent Kok ?	3	3
can you name a film directed by John Huddles ?	can you name a film directed by John Huddles ?	5	5
what films did Jeroen Krabbé star in ?	what films did Jeroen Krabbé in ?	3	3
what movies did Ruth Nelson star in ?	what movies did star in ?	1	1
which movie was E. Elias Merhige the director for ?	which movie was the director for ?	1	1
what films does Diana Wynyard appear in ?	what films Diana Wynyard appear ?	5	5
Rob Weiss was the director of which movies ?	was the director of which movies ?	1	1
what does Marta Etura appear in ?	what does appear in ?	1	1
what films did John Maloof direct ?	why did John Maloof direct ?	4	4
what films does Misa Shimizu appear in ?	what films does appear in ?	1	1
what films did Greg McLane star in ?	what films Greg McLane star ?	5	5
which movie was Priyadarshan the director for ?	which movie Priyadarshan director ?	5	5
what films did Sam Parsonson star in ?	what films did star in ?	1	1
what films did Joe Silver act in ?	what films Joe Silver act ?	5	5
Rebecca Pidgeon appears in which movies ?	Rebecca Pidgeon appears which movies ?	5	5
what films did Marion Bailey star in ?	what films did star in ?	1	1
which films did Coky Giedroyc direct ?	when did Coky Giedroyc direct ?	3	3
what movies did Mark Chao star in ?	what movies did Mark Chao in ?	3	3
what does Luana Anders appear in ?	what does appear in ?	1	1
what films does Sylvia Kristel appear in ?	what films does appear in ?	1	1
what movies did Edwige Fenech act in ?	when did Edwige Fenech act in ?	3	3
what movies did Masashi Endô star in ?	what movies did star in ?	1	1
what movies did Bill Moseley star in ?	what movies did star in ?	1	1
what movies did Philip Bretherton act in ?	what movies did act in ?	1	1
which movies did Feo Aladag direct ?	which movies did Feo Aladag ?	3	3
what movies did Walter Cronkite star in ?	what movies did star in ?	1	1
what films does John Kahrs appear in ?	what films John Kahrs appear ?	5	5
what movies did Satoshi Tsumabuki star in ?	what movies Satoshi Tsumabuki star ?	5	5
what did Vincent Gallo direct ?	what did direct ?	1	1
Thom Andersen was the director of which films ?	Thom Andersen director which films ?	5	5
what movies did Aoi Miyazaki act in ?	which did Aoi Miyazaki act in ?	5	5
what films did Joan Lorring act in ?	what films did Joan Lorring in ?	5	5
what films does Ralf Harolde appear in ?	what films Ralf Harolde appear ?	5	5
what does Deanna Russo act in ?	what does Deanna Russo in ?	4	4
Art Linson directed which movies ?	Art Linson directed which movies ?	5	5
which films did Rob Marshall direct ?	which films Rob Marshall direct ?	5	5
what movies was Melvyn Douglas an actor in ?	what movies Melvyn Douglas actor ?	5	5
what does Kiefer Sutherland star in ?	how Kiefer Sutherland star in ?	3	3
Felipe Lacerda was the director of which movies ?	Felipe Lacerda director which movies ?	5	5
what films did Deran Sarafian direct ?	what films Deran Sarafian direct ?	5	5
Wolfgang Murnberger directed which films ?	directed which films ?	1	1
Nick Gomez was the director of which films ?	was the director of which films ?	1	1
what movies did Alex Karzis star in ?	whose did Alex Karzis star in ?	3	3
what does Russell Means star in ?	what does star in ?	1	1
what does Josephine Hull act in ?	what Josephine Hull act ?	4	4
which films did Katherine Brooks direct ?	which films Katherine Brooks direct ?	5	5
which films did Erik White direct ?	what did Erik White direct ?	5	5
what movies did Norman Kerry star in ?	what movies Norman Kerry star ?	5	5
what films did Terry Kinney star in ?	what films Terry Kinney star ?	5	5
what did Garth Jennings direct ?	what Garth Jennings direct ?	4	4
what films did Merrill Pye direct ?	what films did Merrill Pye ?	3	3
which films did Brian Gibson direct ?	which films did Brian Gibson ?	3	3
which movie was Toshio Lee the director for ?	which movie was the director for ?	2	2
which films did James Duffy direct ?	When did James Duffy direct ?	3	3
can you name a film directed by Shirley MacLaine ?	can you name a film directed by ?	2	2
which movies did José Henrique Fonseca direct ?	which movies did José Henrique Fonseca ?	3	3
which movies did Mervyn LeRoy direct ?	What did Mervyn LeRoy direct ?	4	4
which movies did Christopher Erskin direct ?	which movies did Christopher Erskin ?	3	3
which films did Clay Westervelt direct ?	which films Clay Westervelt direct ?	4	4
Joshua Brand directed which films ?	Joshua Brand directed When ?	3	3
Scott Kalvert directed which movies ?	Scott Kalvert directed When ?	3	3
what films did John Emerson direct ?	what films did John Emerson ?	3	3
which films did Ida Lupino direct ?	Which did Ida Lupino direct ?	4	4
Carlos Saldanha directed which films ?	Carlos Saldanha directed Where ?	3	3
John Carl Buechler was the director of which movies ?	John Carl Buechler which movies ?	3	3
Philippe Grimond directed which movies ?	Philippe Grimond directed which movies ?	5	5
which films did Morgan Freeman direct ?	which films Morgan Freeman direct ?	5	5
what films did Phil Lord direct ?	Why did Phil Lord direct ?	3	3
Felipe Lacerda was the director of which movies ?	Felipe Lacerda director which movies ?	5	5
which movie was Bakhtyar Khudojnazarov the director for ?	which movie Bakhtyar Khudojnazarov ?	3	3
Stanley Kramer was the director of which movies ?	Stanley Kramer which movies ?	3	3
what is a film directed by Daniel Haller ?	what film directed Daniel Haller ?	4	4
Alex De Rakoff directed which films ?	Alex De Rakoff directed When ?	3	3
James Belushi appears in which movies ?	appears in which movies ?	1	1
what films did Stéphane Demers act in ?	what films did Stéphane Demers ?	3	3
what movies was Laura San Giacomo an actor in ?	what movies Laura San Giacomo actor ?	4	4
which movies did Greg Mottola direct ?	which movies did Greg Mottola ?	3	3
what movies did Grégoire Aslan act in ?	what movies Grégoire Aslan act ?	4	4
what does Richard White act in ?	what does Richard White ?	3	3
Scott Kalvert directed which movies ?	Scott Kalvert directed When ?	3	3
what films did Kenneth MacKenna act in ?	what films Kenneth MacKenna act ?	4	4
Stephen Frears appears in which movies ?	Stephen Frears appears which movies ?	4	4
what movies did Adam Cronheim act in ?	what movies did Adam Cronheim ?	3	3
